	ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS	VOWEL
6554	6861	270	天作	270.1	2	大王a荒之	大 + 王 + 荒 + 之	大 + 王 + 荒 + 之	270.1.a	荒	0 0 1613 0	a
6556	6863	270	天作	270.1	4	文王a康之	文 + 王 + 康 + 之	文 + 王 + 康 + 之	270.1.a	康	0 0 1613 0	a
6558	6865	270	天作	270.1	6	有夷之a行	有 + 夷 + 之 + 行	有 + 夷 + 之 + 行	270.1.a	行	0 0 0 1613	a
6560	6867	271	昊天有成命	271.1	1	昊天有成命	昊 + 天 + 有 + 成 + 命	昊 + 天 + 有 + 成 + 命		命	0 0 0 0 0	i
6562	6869	271	昊天有成命	271.1	3	成王不敢康	成 + 王 + 不 + 敢 + 康	成 + 王 + 不 + 敢 + 康		康	0 0 0 0 0	a
6567	6874	272	我將	272.1	1	我將我享	我 + 將 + 我 + 享	我 + 將 + 我 + 享		享	0 0 0 0	a
6571	6878	272	我將	272.1	5	日靖四a方	日 + 靖 + 四 + 方	日 + 靖 + 四 + 方	272.1.a	方	0 0 0 1614	a
6572	6879	272	我將	272.1	6	伊嘏文a王	伊 + 嘏 + 文 + 王	伊 + 嘏 + 文 + 王	272.1.a	王	0 0 0 1614	a
6573	6880	272	我將	272.1	7	既右a饗<享>之	既 + 右 + 饗 + 享 + 之	既 + 右 + 饗 + 享 + 之	272.1.a	饗	0 0 1614 1615 1616	a
6577	6884	273	時邁	273.1	1	時邁其邦	時 + 邁 + 其 + 邦	時 + 邁 + 其 + 邦		邦	0 0 0 0	o
6592	6899	274	執競	274.1	1	執競武a王	執 + 競 + 武 + 王	執 + 競 + 武 + 王	274.1.a	王	0 0 0 1617	a
6594	6901	274	執競	274.1	3	不顯成a康	不 + 顯 + 成 + 康	不 + 顯 + 成 + 康	274.1.a	康	0 0 0 1617	a
6595	6902	274	執競	274.1	4	上帝是a皇	上 + 帝 + 是 + 皇	上 + 帝 + 是 + 皇	274.1.a	皇	0 0 0 1617	a
6596	6903	274	執競	274.1	5	自彼成a康	自 + 彼 + 成 + 康	自 + 彼 + 成 + 康	274.1.a	康	0 0 0 1617	a
6597	6904	274	執競	274.1	6	奄有四a方	奄 + 有 + 四 + 方	奄 + 有 + 四 + 方	274.1.a	方	0 0 0 1617	a
6598	6905	274	執競	274.1	7	斤斤其a明	斤 + 斤 + 其 + 明	斤 + 斤 + 其 + 明	274.1.a	明	0 0 0 1617	a
6600	6908	274	執競	274.1	10	磬筦a將a將	磬 + 筦 + 將 + 將	磬 + 筦 + 將 + 將	274.1.a	將	0 0 1617 1617	a
6608	6920	275	思文	275.1	3	立我烝b民	立 + 我 + 烝 + 民	立 + 我 + 烝 + 民	275.1.b	民	0 0 0 1620	i
6614	6926	276	臣工	276.1	1	嗟嗟臣a工	嗟 + 嗟 + 臣 + 工	嗟 + 嗟 + 臣 + 工	276.1.a	工	0 0 0 1621	o
6615	6927	276	臣工	276.1	2	敬爾在a公	敬 + 爾 + 在 + 公	敬 + 爾 + 在 + 公	276.1.a	公	0 0 0 1621	o
6616	6928	276	臣工	276.1	3	王釐爾成	王 + 釐 + 爾 + 成	王 + 釐 + 爾 + 成		成	0 0 0 0	e
6623	6935	276	臣工	276.1	10	將受厥明	將 + 受 + 厥 + 明	將 + 受 + 厥 + 明		明	0 0 0 0	a
6625	6937	276	臣工	276.1	12	迄用康年	迄 + 用 + 康 + 年	迄 + 用 + 康 + 年		年	0 0 0 0	i
6626	6938	276	臣工	276.1	13	命我眾人	命 + 我 + 眾 + 人	命 + 我 + 眾 + 人		人	0 0 0 0	i
6629	6941	277	噫嘻	277.1	1	噫嘻成王	噫 + 嘻 + 成 + 王	噫 + 嘻 + 成 + 王		王	0 0 0 0	a
6635	6947	277	噫嘻	277.1	7	亦服爾耕	亦 + 服 + 爾 + 耕	亦 + 服 + 爾 + 耕		耕	0 0 0 0	e
6640	6952	278	振鷺	278.1	4	亦有斯a容	亦 + 有 + 斯 + 容	亦 + 有 + 斯 + 容	278.1.a	容	0 0 0 1622	o
6659	6972	280	有瞽	280.1	8	喤喤厥b聲	喤 + 喤 + 厥 + 聲	喤 + 喤 + 厥 + 聲	280.1.b	聲	0 0 0 1627	e
6660	6973	280	有瞽	280.1	9	肅雝和b鳴	肅 + 雝 + 和 + 鳴	肅 + 雝 + 和 + 鳴	280.1.b	鳴	0 0 0 1627	e
6661	6974	280	有瞽	280.1	10	先祖先b聽	先 + 祖 + 先 + 聽	先 + 祖 + 先 + 聽	280.1.b	聽	0 0 0 1627	e
6663	6976	280	有瞽	280.1	12	永觀厥b成	永 + 觀 + 厥 + 成	永 + 觀 + 厥 + 成	280.1.b	成	0 0 0 1627	e
